case_id	source_row	status	boundary_type	axis_set	natoms	u_atoms	o_atoms	elapsed_s	peak_rss_mib	returncode	signal	data_file	metadata_file	data_sha256	audit_status	audit_reasons	audit_bins_y	audit_bins_z	central_gap_min_angstrom	central_gap_median_angstrom	central_gap_p95_angstrom	central_gap_max_angstrom	central_gap_range_angstrom	central_empty_left_fraction	central_empty_right_fraction	periodic_gap_min_angstrom	periodic_gap_median_angstrom	periodic_gap_p95_angstrom	periodic_gap_max_angstrom	periodic_gap_range_angstrom	periodic_empty_left_fraction	periodic_empty_right_fraction	left_internal_min_angstrom	right_internal_min_angstrom	central_cross_min_angstrom	periodic_cross_min_angstrom	periodic_duplicate_count	p_det_abs	q_det_abs	max_miller_row_norm	box_x_angstrom	box_y_angstrom	box_z_angstrom	warning_count	warnings	error_type	message	stdout_tail	stderr_tail
zhang_032_TW_100	32	generated	TW	100	259488	86496	172992	2.97048	217.719	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_032_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_032_TW_100/metadata.json	220d2ffe07506abd9b568ea6d3b92b2d82fe2ad1194fed1528009de1d91d0525	ok	[]	35	35	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.726999999999988	1.3635000000000002	0.0	0.0	2.361651276120109	2.361651276120099	1.3650124796663214	1.3650124796663228	0	901	901	30.01666203960727	130.896	163.71087476401803	163.71087476401803	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_033_TW_100	33	generated	TW	100	115488	38496	76992	1.788214	178.449	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_033_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_033_TW_100/metadata.json	f443bf5bc5e8050464159cf2727a6299473f7b42600dfcf13ed5908a46b52443	ok	[]	24	24	1.3634999999999877	1.3634999999999877	2.7269999999999897	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	2.726999999999988	2.726999999999988	1.3635000000000002	0.0	0.0	2.3616512761201327	2.361651276120121	1.366896020204112	1.3668960202041123	0	401	401	20.024984394500787	130.896	109.2162648876073	109.2162648876073	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_034_TW_100	34	generated	TW	100	41760	13920	27840	1.173111	160.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_034_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_034_TW_100/metadata.json	a1b95e332ab9e225e9a36dc4522a95d05cd3a7b411e0d8baf7be9b4267a55698	ok	[]	14	14	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.726999999999988	1.3635000000000002	0.0	0.0	2.3616512761201434	2.361651276120139	1.3728712443081623	1.3728712443081623	0	145	145	12.041594578792296	130.896	65.67485683273318	65.67485683273318	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_035_TW_100	35	generated	TW	100	23616	7872	15744	1.050075	145.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_035_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_035_TW_100/metadata.json	ec1a78619755d3d59396eb4f14a4fc7492376dae5b010fe755ab6b906c6c11de	ok	[]	11	11	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.726999999999988	1.3635000000000002	0.0	0.0	2.3616512761201505	2.3616512761201456	1.3963601355125914	1.3963601355125914	0	82	82	9.055385138137417	130.896	49.38807054340147	49.38807054340147	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_036_TW_100	36	generated	TW	100	18720	6240	12480	0.939146	150.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_036_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_036_TW_100/metadata.json	7cecf85e6763b6c6e73b6003a14d0fb3896a0f846bd079e5ef66895f62b96594	ok	[]	10	10	1.3634999999999877	1.3634999999999877	1.3634999999999877	1.3634999999999877	0.0	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	1.3634999999999877	0.0	0.0	0.0	2.3616512761201496	2.3616512761201465	1.3843179978714173	1.3843179978714188	0	65	65	8.06225774829855	130.896	43.971553759220285	43.971553759220285	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_037_TW_100	37	generated	TW	100	14400	4800	9600	1.020378	140.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_037_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_037_TW_100/metadata.json	fb1bfbe04681d6c2904bfb9d58ae545cc21eea99c4220ee858bf1c1fd0875ee7	ok	[]	9	9	1.3634999999999877	1.3634999999999877	2.7269999999999897	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	2.726999999999988	2.726999999999988	1.3635000000000002	0.0	0.0	2.3616512761201482	2.3616512761201442	1.4169907656720837	1.4169907656720837	0	50	50	7.0710678118654755	130.896	38.5656038459143	38.5656038459143	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_038_TW_100	38	generated	TW	100	10656	3552	7104	0.841427	150.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_038_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_038_TW_100/metadata.json	66e961a5b435e96c60e4afa0c5a4f44582a8757f8dc75bd8d7b619c4ba51a4a6	ok	[]	8	8	1.3634999999999877	1.3634999999999877	2.7269999999999897	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	2.726999999999988	2.726999999999988	1.3635000000000002	0.0	0.0	2.361651276120152	2.3616512761201487	1.3998663811718244	1.3998663811718244	0	37	37	6.082762530298219	130.896	33.17538684024649	33.17538684024649	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_039_TW_100	39	generated	TW	100	7488	2496	4992	0.911593	150.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_039_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_039_TW_100/metadata.json	58623782b2d4587889054cc7df360b8420812772fa94eea27fe68edaf08014b2	ok	[]	6	6	1.3634999999999877	1.3634999999999877	2.7269999999999897	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	2.726999999999988	2.726999999999988	1.3635000000000002	0.0	0.0	2.361651276120153	2.361651276120149	1.4646339461291378	1.4646339461291378	0	26	26	5.0990195135927845	130.896	27.810052427135044	27.810052427135044	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_040_TW_100	40	generated	TW	100	24480	8160	16320	0.957342	140.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_040_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_040_TW_100/metadata.json	605a7f602f5ff00077e841a3c5fe887bd5cefe2e7964750e471cbfd3d078305a	ok	[]	11	11	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.726999999999988	1.3635000000000002	0.0	0.0	2.361651276120146	2.361651276120145	1.3794479106639943	1.379447910663994	0	85	85	9.219544457292887	130.896	50.283395470075405	50.283395470075405	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_041_TW_100	41	generated	TW	100	4896	1632	3264	0.872076	136.688	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_041_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_041_TW_100/metadata.json	8e1d5b7556401234d8ebc8f9ec479bc33596c7844f29f235adc113a69f3bf327	ok	[]	5	5	1.3634999999999877	1.3634999999999877	1.3634999999999877	1.3634999999999877	0.0	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	1.3634999999999877	0.0	0.0	0.0	2.3616512761201554	2.3616512761201514	1.4414762194279982	1.4414762194279982	0	17	17	4.123105625617661	130.896	22.48741808211872	22.48741808211872	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_042_TW_100	42	generated	TW	100	15264	5088	10176	0.958548	145.0	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_042_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_042_TW_100/metadata.json	bec6ce0d05fe5b22c11df3c03e73e871ead94e4ed49cb4bbc9495d2a116e1f76	ok	[]	9	9	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.7269999999999897	1.363500000000002	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	2.726999999999988	1.3635000000000002	0.0	0.0	2.361651276120153	2.361651276120147	1.3889881871211975	1.3889881871211964	0	53	53	7.280109889280518	130.896	39.70571933613594	39.70571933613594	2	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Recommended repeat factor is at least 2.""]"				
zhang_043_TW_100	43	generated	TW	100	11520	3840	7680	0.910517	151.758	0		/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_043_TW_100/structure.data	/home/frenjc/projects/GBOpt/results/phase_a_geometry_audit/zhang_043_TW_100/metadata.json	dec47ac34072f1a165e4b249b5a3b58e8f2202ca985212d8046658240361fd43	ok	[]	8	8	1.3634999999999877	1.3634999999999877	1.3634999999999877	1.3634999999999877	0.0	0.0	0.0	1.3634999999999877	1.3634999999999877	1.3634999999999877	1.3634999999999877	0.0	0.0	0.0	2.3616512761201496	2.361651276120149	1.6133149568512493	1.6133149568512506	0	10	10	3.1622776601683795	130.896	34.494124717116684	34.494124717116684	6	"[""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Commensurate repeat pair in y multiplied by 2 to satisfy the minimum in-plane dimension cutoff of 22 A."",""UserWarning: Commensurate repeat pair in z multiplied by 2 to satisfy the minimum in-plane dimension cutoff of 22 A."",""UserWarning: Recommended repeat factor is at least 2."",""UserWarning: Commensurate repeat pair in y multiplied by 2 to satisfy the minimum in-plane dimension cutoff of 22 A."",""UserWarning: Commensurate repeat pair in z multiplied by 2 to satisfy the minimum in-plane dimension cutoff of 22 A.""]"				
